Period,ItemTn
1,21.347928
2,23.687648
3,22.67108
4,16.86212
5,10.04466
6,18.11266
7,25.962824
8,19.556832
9,38.532768
10,19.88762
11,36.604516
12,24.099116
13,17.572104
14,14.40138
15,24.93012
16,12.94914
17,20.93646
18,29.432064
19,31.54588
20,18.572536
21,46.302252
22,16.224748
23,21.953028
24,19.871484
25,21.74326
26,23.889348
27,16.733032
28,11.666328
29,12.86949
30,43.5242
31,22.82998
32,21.80255
33,37.10883
34,17.9598
35,25.50777
36,35.76589
37,24.48843
38,26.86689
39,26.68082
40,17.48249
41,17.34496
42,29.00265
43,29.48805
44,29.34243
45,23.25875
46,26.15497
47,32.26292
48,25.32891
49,15.26237
50,18.67563
51,18.89655
52,12.35574
53,12.97905
54,14.5176
55,8.90781
56,15.24348
57,21.92583414
58,8.186398588
59,16.19471293
60,11.04415576
61,10.23333
62,13.72071
63,14.31246
64,15.4644
65,11.23536
66,6.91164
67,15.42495
68,20.05638
69,22.6443
70,12.11754679
71,20.3098087
72,16.8748706
73,14.77797
74,24.32487
75,21.13731
76,12.00858
77,5.39676
78,10.35957
